iter	Passed	Remaining
300	21208	49251
301	21285	49196
302	21363	49143
303	21442	49092
304	21518	49033
305	21587	48960
306	21657	48888
307	21726	48814
308	21792	48734
309	21861	48659
310	21926	48577
311	21995	48503
312	22064	48429
313	22145	48380
314	22213	48306
315	22285	48238
316	22358	48172
317	22435	48115
318	22503	48041
319	22574	47970
320	22646	47902
321	22717	47833
322	22784	47756
323	22852	47680
324	22919	47601
325	22985	47522
326	23051	47442
327	23119	47367
328	23194	47305
329	23267	47239
330	23338	47169
331	23413	47109
332	23494	47059
333	23567	46994
334	23637	46921
335	23714	46865
336	23784	46793
337	23850	46713
338	23918	46636
339	23984	46559
340	24051	46480
341	24122	46411
342	24189	46333
343	24255	46255
344	24321	46175
345	24389	46101
346	24464	46037
347	24531	45960
348	24596	45880
349	24667	45810
350	24733	45731
351	24799	45654
352	24868	45579
353	24935	45503
354	25009	45440
355	25080	45370
356	25148	45295
357	25214	45217
358	25283	45143
359	25349	45066
360	25416	44988
361	25483	44912
362	25549	44835
363	25615	44756
364	25683	44683
365	25754	44613
366	25826	44544
367	25899	44480
368	25975	44419
369	26050	44355
370	26117	44280
371	26184	44203
372	26254	44133
373	26331	44073
374	26401	44002
375	26473	43935
376	26545	43866
377	26613	43792
378	26681	43717
379	26750	43646
380	26819	43573
381	26893	43508
382	26963	43436
383	27030	43361
384	27095	43281
385	27161	43205
386	27228	43129
387	27297	43056
388	27365	42982
389	27432	42907
390	27518	42861
391	27601	42809
392	27677	42749
393	27750	42682
394	27816	42604
395	27883	42529
396	27951	42455
397	28022	42385
398	28093	42316
399	28158	42238
400	28223	42160
401	28292	42086
402	28360	42013
403	28427	41937
404	28507	41881
405	28572	41803
406	28639	41728
407	28705	41650
408	28772	41575
409	28837	41498
410	28902	41420
411	28969	41344
412	29035	41267
413	29101	41191
414	29168	41116
415	29232	41038
416	29300	40963
417	29368	40890
418	29434	40815
419	29504	40744
420	29575	40674
421	29646	40605
422	29720	40540
423	29790	40469
424	29858	40396
425	29923	40319
426	29992	40247
427	30058	40171
428	30125	40096
429	30191	40020
430	30257	39945
431	30327	39874
432	30409	39820
433	30486	39758
434	30559	39691
435	30646	39644
436	30718	39575
437	30792	39510
438	30858	39434
439	30924	39358
440	30993	39286
441	31072	39227
442	31140	39154
443	31206	39078
444	31274	39005
445	31342	38932
446	31407	38855
447	31474	38781
448	31540	38705
449	31606	38630
450	31677	38560
451	31760	38506
452	31856	38466
453	31924	38394
454	31991	38319
455	32058	38245
456	32124	38169
457	32190	38094
458	32256	38019
459	32324	37946
460	32390	37870
461	32456	37795
462	32523	37722
463	32590	37647
464	32658	37575
465	32732	37508
466	32800	37436
467	32870	37365
468	32944	37299
469	33009	37223
470	33075	37148
471	33157	37091
472	33236	37031
473	33314	36969
474	33381	36895
475	33448	36821
476	33512	36744
477	33581	36673
478	33661	36612
479	33728	36539
480	33799	36469
481	33867	36397
482	33940	36330
483	34024	36273
484	34091	36200
485	34156	36124
486	34223	36051
487	34292	35978
488	34363	35909
489	34434	35839
490	34502	35767
491	34571	35695
492	34640	35623
493	34711	35554
494	34787	35490
495	34857	35419
496	34926	35348
497	34993	35274
498	35061	35202
499	35133	35133
500	35199	35058
501	35265	34984
502	35337	34916
503	35408	34846
504	35478	34775
505	35549	34706
506	35626	34642
507	35694	34569
508	35766	34501
509	35841	34435
510	35912	34366
511	35980	34294
512	36047	34220
513	36121	34153
514	36191	34082
515	36261	34012
516	36330	33941
517	36396	33867
518	36473	33802
519	36553	33741
520	36627	33674
521	36696	33603
522	36766	33533
523	36834	33460
524	36901	33387
525	36970	33315
526	37039	33244
527	37110	33174
528	37177	33101
529	37243	33027
530	37310	32954
531	37377	32880
532	37443	32807
533	37511	32735
534	37578	32661
535	37647	32590
536	37714	32517
537	37787	32449
538	37859	32380
539	37929	32310
540	37999	32240
541	38070	32170
542	38138	32098
543	38206	32025
544	38274	31954
545	38346	31885
546	38423	31820
547	38497	31753
548	38574	31688
549	38665	31635
550	38742	31570
551	38814	31501
552	38885	31432
553	38955	31361
554	39024	31290
555	39097	31221
556	39165	31149
557	39230	31074
558	39298	31003
559	39365	30930
560	39433	30857
561	39503	30787
562	39570	30714
563	39637	30641
564	39704	30569
565	39771	30495
566	39846	30429
567	39912	30355
568	39979	30283
569	40047	30211
570	40115	30139
571	40183	30067
572	40252	29996
573	40319	29923
574	40386	29850
575	40452	29777
576	40519	29705
577	40587	29632
578	40651	29558
579	40720	29487
580	40792	29418
581	40861	29347
582	40932	29277
583	41003	29208
584	41070	29135
585	41138	29063
586	41206	28991
587	41272	28918
588	41347	28852
589	41414	28779
590	41481	28706
591	41548	28634
592	41616	28562
593	41682	28490
594	41749	28417
595	41818	28346
596	41885	28274
597	41950	28200
598	42016	28127
599	42082	28055
600	42150	27983
601	42215	27910
602	42283	27838
603	42351	27767
604	42419	27695
605	42493	27627
606	42568	27560
607	42635	27488
608	42702	27416
609	42768	27343
610	42835	27271
611	42900	27198
612	42966	27125
613	43034	27054
614	43110	26987
615	43176	26915
616	43245	26844
617	43310	26771
618	43377	26699
619	43443	26626
620	43511	26555
621	43579	26484
622	43650	26414
623	43716	26342
624	43782	26269
625	43849	26197
626	43916	26126
627	43982	26053
628	44047	25980
629	44112	25907
630	44179	25835
631	44248	25765
632	44316	25693
633	44389	25625
634	44461	25556
635	44531	25486
636	44602	25417
637	44670	25345
638	44738	25274
639	44804	25202
640	44872	25131
641	44937	25058
642	45002	24986
643	45067	24913
644	45133	24841
645	45199	24768
646	45266	24697
647	45331	24624
648	45399	24553
649	45467	24482
650	45536	24411
651	45603	24340
652	45671	24269
653	45742	24200
654	45812	24130
655	45885	24061
656	45955	23992
657	46026	23922
658	46103	23856
659	46176	23787
660	46248	23718
661	46317	23648
662	46395	23582
663	46469	23514
664	46553	23451
665	46624	23382
666	46696	23313
667	46767	23243
668	46845	23177
669	46919	23109
670	46997	23043
671	47068	22973
672	47142	22905
673	47216	22837
674	47289	22769
675	47361	22700
676	47431	22629
677	47496	22557
678	47562	22485
679	47632	22415
680	47701	22344
681	47769	22273
682	47839	22203
683	47911	22134
684	47980	22064
685	48045	21991
686	48112	21920
687	48192	21854
688	48268	21787
689	48344	21719
690	48415	21650
691	48485	21580
692	48557	21511
693	48624	21439
694	48689	21367
695	48756	21296
696	48821	21223
697	48888	21152
698	48956	21081
699	49022	21009
700	49088	20937
701	49155	20866
702	49221	20795
703	49288	20723
704	49355	20652
705	49422	20580
706	49490	20510
707	49559	20439
708	49625	20368
709	49692	20297
710	49759	20225
711	49825	20154
712	49891	20082
713	49959	20011
714	50027	19941
715	50096	19870
716	50164	19800
717	50234	19729
718	50300	19658
719	50368	19587
720	50433	19515
721	50499	19444
722	50564	19372
723	50630	19301
724	50707	19233
725	50779	19164
726	50848	19094
727	50916	19023
728	50982	18952
729	51050	18881
730	51119	18811
731	51186	18740
732	51254	18669
733	51321	18598
734	51388	18527
735	51454	18456
736	51523	18386
737	51595	18317
738	51664	18247
739	51736	18177
740	51817	18111
741	51894	18044
742	51967	17975
743	52041	17906
744	52110	17836
745	52183	17767
746	52270	17703
747	52378	17646
748	52455	17578
749	52522	17507
750	52589	17436
751	52657	17365
752	52724	17294
753	52791	17223
754	52858	17152
755	52924	17081
756	52990	17010
757	53056	16939
758	53122	16867
759	53190	16797
760	53261	16727
761	53327	16656
762	53395	16585
763	53463	16514
764	53531	16444
765	53598	16373
766	53665	16302
767	53733	16231
768	53799	16160
769	53867	16090
770	53934	16019
771	54001	15948
772	54067	15877
773	54136	15807
774	54204	15736
775	54270	15665
776	54337	15594
777	54405	15524
778	54471	15453
779	54538	15382
780	54604	15311
781	54672	15241
782	54737	15169
783	54805	15099
784	54873	15029
785	54938	14957
786	55005	14887
787	55077	14817
788	55147	14747
789	55216	14677
790	55287	14608
791	55355	14537
792	55434	14470
793	55507	14401
794	55576	14331
795	55645	14261
796	55715	14191
797	55785	14121
798	55858	14052
799	55927	13981
800	55994	13911
801	56086	13846
802	56166	13779
803	56236	13709
804	56308	13639
805	56386	13572
806	56464	13503
807	56540	13435
808	56614	13366
809	56685	13296
810	56759	13227
811	56832	13158
812	56905	13088
813	56977	13019
814	57045	12948
815	57114	12878
816	57183	12808
817	57253	12738
818	57320	12667
819	57387	12597
820	57454	12526
821	57523	12456
822	57590	12385
823	57657	12315
824	57723	12244
825	57789	12173
826	57858	12103
827	57933	12034
828	58002	11964
829	58070	11893
830	58137	11823
831	58204	11752
832	58272	11682
833	58340	11612
834	58409	11541
835	58476	11471
836	58542	11400
837	58610	11330
838	58678	11260
839	58746	11189
840	58816	11119
841	58882	11049
842	58948	10978
843	59014	10907
844	59080	10837
845	59149	10767
846	59216	10696
847	59283	10626
848	59351	10556
849	59419	10485
850	59486	10415
851	59565	10347
852	59639	10277
853	59717	10209
854	59792	10140
855	59865	10070
856	59940	10001
857	60013	9932
858	60087	9863
859	60160	9793
860	60233	9724
861	60306	9654
862	60379	9585
863	60456	9516
864	60534	9447
865	60608	9378
866	60678	9308
867	60750	9238
868	60828	9169
869	60901	9100
870	60972	9030
871	61042	8960
872	61109	8889
873	61178	8819
874	61259	8751
875	61326	8680
876	61392	8610
877	61458	8539
878	61528	8469
879	61598	8399
880	61666	8329
881	61731	8258
882	61798	8188
883	61865	8118
884	61931	8047
885	61997	7977
886	62064	7906
887	62132	7836
888	62203	7766
889	62310	7701
890	62382	7631
891	62452	7561
892	62521	7491
893	62590	7421
894	62654	7350
895	62720	7280
896	62785	7209
897	62851	7139
898	62917	7068
899	62984	6998
900	63049	6927
901	63118	6857
902	63185	6787
903	63255	6717
904	63322	6647
905	63392	6577
906	63461	6507
907	63532	6437
908	63602	6367
909	63672	6297
910	63738	6226
911	63806	6156
912	63874	6086
913	63941	6016
914	64007	5946
915	64074	5875
916	64141	5805
917	64207	5735
918	64274	5665
919	64340	5594
920	64408	5524
921	64475	5454
922	64542	5384
923	64607	5314
924	64676	5244
925	64744	5173
926	64810	5103
927	64877	5033
928	64955	4964
929	65022	4894
930	65087	4823
931	65157	4753
932	65225	4683
933	65291	4613
934	65358	4543
935	65425	4473
936	65493	4403
937	65559	4333
938	65627	4263
939	65693	4193
940	65759	4123
941	65828	4053
942	65893	3982
943	65960	3912
944	66031	3843
945	66099	3773
946	66165	3703
947	66232	3632
948	66298	3562
949	66370	3493
950	66438	3423
951	66505	3353
952	66579	3283
953	66651	3213
954	66721	3143
955	66790	3074
956	66858	3004
957	66925	2934
958	66992	2864
959	67059	2794
960	67127	2724
961	67192	2654
962	67263	2584
963	67332	2514
964	67403	2444
965	67473	2374
966	67540	2304
967	67608	2234
968	67676	2165
969	67744	2095
970	67810	2025
971	67876	1955
972	67944	1885
973	68012	1815
974	68079	1745
975	68144	1675
976	68212	1605
977	68278	1535
978	68344	1466
979	68413	1396
980	68479	1326
981	68547	1256
982	68612	1186
983	68679	1116
984	68747	1046
985	68814	977
986	68880	907
987	68947	837
988	69017	767
989	69086	697
990	69155	628
991	69221	558
992	69286	488
993	69354	418
994	69421	348
995	69488	279
996	69555	209
997	69623	139
998	69690	69
999	69757	0
