iter	Logloss
0	0.6881345463
1	0.6835120844
2	0.6791555687
3	0.6748520082
4	0.6706448462
5	0.6669616923
6	0.6634396538
7	0.6599012598
8	0.6565182738
9	0.6530561737
10	0.649337472
11	0.6462159725
12	0.6438332569
13	0.641056493
14	0.6384381139
15	0.6358410759
16	0.6332167824
17	0.6303625607
18	0.6281990076
19	0.6257978495
20	0.6233802462
21	0.6212677293
22	0.6189359826
23	0.6166791255
24	0.6150315232
25	0.6129553319
26	0.6109010747
27	0.6090724429
28	0.6073886996
29	0.6056009816
30	0.6040322024
31	0.6027932805
32	0.6014196034
33	0.5997877859
34	0.5981510891
35	0.5964386803
36	0.5949417914
37	0.5936203758
38	0.5923173972
39	0.5911536782
40	0.5897677806
41	0.5885261225
42	0.5869663967
43	0.5858029574
44	0.5849729677
45	0.5840282097
46	0.5829925425
47	0.5818014897
48	0.5808508621
49	0.5798678033
50	0.5787971365
51	0.5778226891
52	0.5767317612
53	0.5756272252
54	0.5746755233
55	0.5738793916
56	0.5729838176
57	0.5718523396
58	0.5709668094
59	0.569966567
60	0.5691539455
61	0.5683879789
62	0.5673004643
63	0.5664350498
64	0.5656612775
65	0.5648310248
66	0.5640348036
67	0.5632423874
68	0.5624009494
69	0.5615972694
70	0.5608139066
71	0.5600247581
72	0.559314192
73	0.5585021749
74	0.5577541809
75	0.5571084605
76	0.5565322412
77	0.5558061925
78	0.5551288019
79	0.5544098818
80	0.553763988
81	0.55317425
82	0.5523918104
83	0.551785426
84	0.5510889773
85	0.5503293392
86	0.5497733362
87	0.5490515177
88	0.5485669127
89	0.5479155912
90	0.5472273062
91	0.546525139
92	0.5457063234
93	0.5449794746
94	0.544293618
95	0.5435605415
96	0.5429083247
97	0.5422393776
98	0.5416864018
99	0.5410091846
100	0.5406077392
101	0.540068461
102	0.5396620244
103	0.5390100203
104	0.5385470752
105	0.5378151737
106	0.5371276441
107	0.5364840668
108	0.535965005
109	0.5353715629
110	0.5348760411
111	0.5343017298
112	0.5337704979
113	0.5332357856
114	0.5326937321
115	0.532109875
116	0.5315080397
117	0.5309831195
118	0.5304220246
119	0.5297823138
120	0.5291821515
121	0.5287167668
122	0.5282729414
123	0.5275778356
124	0.5270542527
125	0.5265297465
126	0.5259925722
127	0.5254362083
128	0.5249331271
129	0.5244192691
130	0.5239096076
131	0.5233911753
132	0.522833891
133	0.5224082563
134	0.52190952
135	0.5214664164
136	0.5209394874
137	0.5203653859
138	0.5199392701
139	0.5194954419
140	0.5190430443
141	0.518486963
142	0.5178229315
143	0.5173986482
144	0.5170041942
145	0.5164008873
146	0.5158923953
147	0.5154126947
148	0.5149648238
149	0.5143664828
150	0.5139313779
151	0.5135235313
152	0.513048279
153	0.5125423833
154	0.5120671282
155	0.5116023283
156	0.5111522052
157	0.5106927265
158	0.5102465594
159	0.5098108474
160	0.5093961771
161	0.5089829812
162	0.5084746766
163	0.5080460596
164	0.5074996529
165	0.5071201667
166	0.5067713408
167	0.5062866994
168	0.5057785795
169	0.5053829057
170	0.5047418016
171	0.5042700017
172	0.5038670091
173	0.5033884164
174	0.503037702
175	0.5025935745
176	0.5020926391
177	0.501846901
178	0.5013097911
179	0.500842185
180	0.5003710006
181	0.5000478635
182	0.4995825375
183	0.4991588586
184	0.498703596
185	0.4983693071
186	0.4978900346
187	0.4975305298
188	0.4971656645
189	0.4966579559
190	0.4962454314
191	0.495821274
192	0.4954571138
193	0.4951531662
194	0.4947259034
195	0.4943952991
196	0.493935742
197	0.4935523867
198	0.4932586256
199	0.4929203695
200	0.4925038527
201	0.4921819297
202	0.4917856153
203	0.4913768314
204	0.4910711436
205	0.4906641894
206	0.4903358904
207	0.4900168659
208	0.4896616277
209	0.4892167615
210	0.4888245373
211	0.4884515922
212	0.4880904732
213	0.4877015783
214	0.4873913918
215	0.4870020073
216	0.4866053627
217	0.4861804219
218	0.4858115448
219	0.4854300415
220	0.485054917
221	0.4846472326
222	0.4843249571
223	0.4839361601
224	0.4835188432
225	0.4831373427
226	0.4828124625
227	0.4824300248
228	0.4821503838
229	0.4816684674
230	0.4813792442
231	0.4810207186
232	0.4806475078
233	0.4802874854
234	0.4800198187
235	0.4796329578
236	0.4793168429
237	0.479005943
238	0.4785976823
239	0.4782420579
240	0.4777999139
241	0.4775938811
242	0.4772613576
243	0.4769111776
244	0.4765909137
245	0.4762294561
246	0.4758325429
247	0.4755328815
248	0.4751641805
249	0.4748699579
250	0.4745636322
251	0.4743512374
252	0.4739318333
253	0.4736065251
254	0.4732620776
255	0.4728718846
256	0.4724148316
257	0.472062391
258	0.4717092175
259	0.4713886262
260	0.4710712384
261	0.4707084966
262	0.4704385358
263	0.4701086253
264	0.4697932015
265	0.4693828397
266	0.4690534412
267	0.468753388
268	0.4683451973
269	0.467992947
270	0.4676404812
271	0.4673695692
272	0.4670351684
273	0.4667712395
274	0.4663749082
275	0.4660885863
276	0.4656233667
277	0.4653196066
278	0.4648644056
279	0.4645433611
280	0.4642540205
281	0.4639048057
282	0.4635247125
283	0.4632079765
284	0.4627684064
285	0.4624523643
286	0.4621987449
287	0.4618262699
288	0.4614557757
289	0.461065591
290	0.4607147508
291	0.46039656
292	0.4600373462
293	0.4596865842
294	0.4593929631
295	0.4589999499
296	0.4586541512
297	0.4582385576
298	0.4578390594
299	0.4575119494
300	0.4572358364
301	0.4569737987
302	0.4566570124
303	0.456314431
304	0.4560040347
305	0.4556262328
306	0.4553484803
307	0.4549830947
308	0.454696244
309	0.4542621043
310	0.4538957899
311	0.4535666264
312	0.453219482
313	0.4529355801
314	0.4525603045
315	0.452187698
316	0.4517746643
317	0.4514170592
318	0.4510488143
319	0.4507736105
320	0.4503846653
321	0.4500301041
322	0.4496723702
323	0.4492584581
324	0.4488906944
325	0.4485766471
326	0.4482128673
327	0.4478089207
328	0.4475747316
329	0.4471583043
330	0.4468355056
331	0.4464068523
332	0.4460101518
333	0.4456590345
334	0.445265017
335	0.4448948529
336	0.4445375387
337	0.444204769
338	0.4438194328
339	0.4434763563
340	0.4430915544
341	0.4426495531
342	0.4423154685
343	0.4418524759
344	0.4415327239
345	0.4410905156
346	0.4407466193
347	0.4403200783
348	0.4399781879
349	0.439688948
350	0.4393129366
351	0.4389523883
352	0.4385245575
353	0.4382375501
354	0.4379244316
355	0.4375325543
356	0.4371736343
357	0.4367934627
358	0.4363985471
359	0.4360648065
360	0.4356946424
361	0.4352752355
362	0.4348921096
363	0.4345225693
364	0.4341212134
365	0.4337466177
366	0.4332663771
367	0.4329541426
368	0.4326034003
369	0.4321814363
370	0.4317498146
371	0.4313377126
372	0.4309201634
373	0.4305316854
374	0.4302373452
375	0.4298828987
376	0.4294712331
377	0.4290365451
378	0.4286771802
379	0.428281733
380	0.4278588066
381	0.4274234219
382	0.4270079654
383	0.4265595266
384	0.4261125481
385	0.4257609861
386	0.4253315074
387	0.4248924829
388	0.4244439237
389	0.4240513974
390	0.4237310635
391	0.4232802914
392	0.4229140357
393	0.4224624102
394	0.4221003735
395	0.4216643705
396	0.4212148937
397	0.4208836515
398	0.4204571384
399	0.4200199828
400	0.4196233914
401	0.4192263187
402	0.4188117967
403	0.4184112689
404	0.418038889
405	0.4177224999
406	0.4173076841
407	0.4169350104
408	0.4165418938
409	0.416171019
410	0.4158595819
411	0.4155240956
412	0.4151377494
413	0.4147408782
414	0.4143819442
415	0.4140532675
416	0.4136330241
417	0.4132711413
418	0.412895972
419	0.4125208615
420	0.4121496007
421	0.4117682233
422	0.4113730895
423	0.4110604494
424	0.410629099
425	0.4101910257
426	0.4098458928
427	0.4095899682
428	0.4092090272
429	0.4088682588
430	0.408504577
431	0.4081172461
432	0.4077071304
433	0.4072917355
434	0.4069592343
435	0.4065798517
436	0.4061454378
437	0.4057051544
438	0.4053083223
439	0.4049438823
440	0.404637235
441	0.4042262269
442	0.4038351218
443	0.4035243086
444	0.4031457317
445	0.4028411546
446	0.4024453018
447	0.4020830189
448	0.4016931867
449	0.4013424388
450	0.4009805951
451	0.4007070728
452	0.4003500916
453	0.400039186
454	0.3996352562
455	0.3992937268
456	0.3989771475
457	0.3986766551
458	0.3982989735
459	0.3979145354
460	0.3975524399
461	0.3972165171
462	0.3967476772
463	0.3963517153
464	0.3960580494
465	0.3956737483
466	0.3953637856
467	0.3949825761
468	0.3946409879
469	0.39431385
470	0.3939603575
471	0.3935793578
472	0.3932432084
473	0.3929164538
474	0.3925994688
475	0.3923055231
476	0.3919697934
477	0.3916269155
478	0.3912278984
479	0.3908377893
480	0.3905073753
481	0.3901247697
482	0.3897254756
483	0.3894533046
484	0.3890938278
485	0.3887735975
486	0.3884593291
487	0.3881350225
488	0.3877305862
489	0.3874058683
490	0.387030299
491	0.3867104519
492	0.3863185831
493	0.3860437011
494	0.3856930315
495	0.3854017772
496	0.385071254
497	0.3847730222
498	0.384451088
499	0.3840981019
500	0.3837163636
501	0.3833840499
502	0.3830144593
503	0.3826549909
504	0.3823436657
505	0.3820418584
506	0.3817492248
507	0.3814143232
508	0.3811027407
509	0.3807345965
510	0.3803759394
511	0.3800765801
512	0.3798277897
513	0.3794798143
514	0.3791092809
515	0.378700206
516	0.3783329571
517	0.3779850293
518	0.3776509194
519	0.3772532369
520	0.3769030345
521	0.3765824377
522	0.376224841
523	0.3759523594
524	0.3756223594
525	0.3753022941
526	0.3750374671
527	0.374714053
528	0.3744544297
529	0.3741659704
530	0.3738780873
531	0.3736226355
532	0.3733043887
533	0.3730089574
534	0.3727221599
535	0.3724699171
536	0.3721367529
537	0.3717848998
538	0.3715163267
539	0.371175175
540	0.3708669776
541	0.3704927568
542	0.3702031728
543	0.3698532054
544	0.3695180408
545	0.3691766065
546	0.3688709132
547	0.3685430395
548	0.3681571801
549	0.3678180595
550	0.3674798734
551	0.3671085706
552	0.3668576091
553	0.3665424007
554	0.3662555976
555	0.3659012098
556	0.3655114169
557	0.3652165927
558	0.3648638444
559	0.3644997821
560	0.3642096944
561	0.3638046175
562	0.3634743937
563	0.363165869
564	0.3629090575
565	0.3625646045
566	0.3622204592
567	0.361995455
568	0.3616841886
569	0.361406271
570	0.3611694577
571	0.3607968595
572	0.3604566618
573	0.3602308938
574	0.359925332
575	0.3596373398
576	0.3592732244
577	0.359000947
578	0.3587200891
579	0.3584241682
580	0.3581308967
581	0.3578205927
582	0.3574810413
583	0.3571917985
584	0.3569362348
585	0.3565583098
586	0.3562187556
587	0.3559273838
588	0.3555721119
589	0.3552674705
590	0.35492189
591	0.3546423833
592	0.3543018079
593	0.3539793926
594	0.3536514182
595	0.3532860437
596	0.3529769763
597	0.3527329056
598	0.3523610713
599	0.352107133
600	0.351775888
601	0.35153889
602	0.3512261995
603	0.3509392789
604	0.3506478623
605	0.3503577187
606	0.3501420841
607	0.3497692566
608	0.3494875677
609	0.3492088276
610	0.3488596492
611	0.3486095774
612	0.3483045583
613	0.3480090095
614	0.347754369
615	0.3474616795
616	0.3471925468
617	0.3469427687
618	0.3466536435
619	0.3463959367
620	0.3461278447
621	0.3458758313
622	0.3455954098
623	0.3453199347
624	0.3450601156
625	0.344729198
626	0.3443913923
627	0.3441223435
628	0.343771106
629	0.3434909307
630	0.3431130085
631	0.3427827148
632	0.3424967537
633	0.3422540987
634	0.3419301278
635	0.3416438339
636	0.341410319
637	0.3410355638
638	0.3406456142
639	0.3403723576
640	0.3400591832
641	0.3398286926
642	0.3396131336
643	0.3392763519
644	0.3390089594
645	0.3387452878
646	0.3384461747
647	0.3382083094
648	0.3379374981
649	0.3376052739
650	0.3373456814
651	0.3370308731
652	0.3367386955
653	0.3364946388
654	0.3362845046
655	0.3360319875
656	0.3357150222
657	0.3354839245
658	0.3351926926
659	0.3348805729
660	0.3345699947
661	0.3343438518
662	0.3340730657
663	0.3338097522
664	0.3335829743
665	0.3333168631
666	0.3330738724
667	0.3327536588
668	0.3324553766
669	0.3321437801
670	0.3318991163
671	0.3317025929
672	0.3314729529
673	0.3312468016
674	0.3309453272
675	0.3306531469
676	0.3303251249
677	0.3300824727
678	0.3298647733
679	0.3295684663
680	0.3293525715
681	0.3290562058
682	0.328806313
683	0.3284996181
684	0.3282110916
685	0.3279805143
686	0.3276820615
687	0.3273368307
688	0.3270754505
689	0.3268522004
690	0.3266341318
691	0.3264320606
692	0.326168666
693	0.3258965174
694	0.3256459504
695	0.3253218844
696	0.3250768261
697	0.3247290074
698	0.3244612484
699	0.3242504538
700	0.3239640536
701	0.3237179909
702	0.323451337
703	0.3231814405
704	0.3228588293
705	0.3226052827
706	0.3223877848
707	0.3221101219
708	0.3218811169
709	0.3216086578
710	0.3213771041
711	0.3211685701
712	0.3209820011
713	0.3206209463
714	0.3203910265
715	0.3201299709
716	0.3198278026
717	0.31954723
718	0.3193456428
719	0.319038752
720	0.3187830232
721	0.3185213493
722	0.3182604866
723	0.318031325
724	0.3177376899
725	0.3175693396
726	0.3172293853
727	0.3169239437
728	0.3166715918
729	0.3164329879
730	0.3161953016
731	0.3159067695
732	0.3156010649
733	0.3153598479
734	0.3150807022
735	0.3147854919
736	0.3145395047
737	0.3142513615
738	0.3139915592
739	0.3137136305
740	0.3134541164
741	0.3132538664
742	0.3129533545
743	0.3126592269
744	0.3124777245
745	0.3122239793
746	0.3119776033
747	0.3116794834
748	0.3114392456
749	0.3111846778
750	0.3109479652
751	0.3107665104
752	0.3104816321
753	0.3102130897
754	0.3099924863
755	0.3097629246
756	0.3096073432
757	0.3093652897
758	0.3090679279
759	0.3087505009
760	0.3084758315
761	0.3082372751
762	0.3080257924
763	0.3077624454
764	0.3074770411
765	0.3072444914
766	0.3069719707
767	0.3066863454
768	0.3064022197
769	0.3061826375
770	0.3059758017
771	0.3057955388
772	0.3055709626
773	0.305361981
774	0.3051626347
775	0.3049018449
776	0.3046912629
777	0.3044235879
778	0.3041594239
779	0.3039470906
780	0.3036625061
781	0.3033833464
782	0.3031592123
783	0.3028884205
784	0.3026706093
785	0.3024559427
786	0.3022624772
787	0.3019884625
788	0.3017596926
789	0.3015155799
790	0.3012830499
791	0.3010837707
792	0.3008235712
793	0.3006014486
794	0.3003712015
795	0.300187184
796	0.2999241895
797	0.2996724978
798	0.2994227813
799	0.2992156322
800	0.2989710971
801	0.2986632103
802	0.2984255436
